"base_url","search_term","result_type","competitor_url","similarity_score","word_count","prodImage","compImage","json_ld_found","brand","model","gtin","price"
"https://www.bettymills.com/mckesson-ecg-snap-electrode-monitoring-non-radiolucent-50-per-pack-87-50sg-mon1187707pk","McKesson ECG Snap Electrode, Monitoring Non-Radiolucent - McKesson 87-50SG PK - Betty Mills","organic","https://mms.mckesson.com/product/1187707/McKesson-Brand-87-50SG",0.953125,1442,"https://cf1.bettymills.com/store/images/product/500/MON1187707.JPG","https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1187707_front.jpg","Yes","McKesson","87-50SG","",""
"https://www.bettymills.com/mckesson-ecg-snap-electrode-monitoring-non-radiolucent-50-per-pack-87-50sg-mon1187707pk","McKesson ECG Snap Electrode, Monitoring Non-Radiolucent - McKesson 87-50SG PK - Betty Mills","organic","https://mms.mckesson.com/catalog?node=31078795+26096129+32387901&query=1&id=MTIqVDZuSnp3cWZpMmcqemZvcGtPQWhaLVZRRjVSY1BjOVJvNEh4Y185aFFscWtLTWVEMmdOT0RmQSo%2A&sort=Po","N/A",1359,"https://cf1.bettymills.com/store/images/product/500/MON1187707.JPG","https://mms.mckesson.com/assets/img/footer-bg-ele.svg","No","","","",""
"https://www.bettymills.com/mckesson-ecg-snap-electrode-monitoring-non-radiolucent-50-per-pack-87-50sg-mon1187707pk","McKesson ECG Snap Electrode, Monitoring Non-Radiolucent - McKesson 87-50SG PK - Betty Mills","organic","https://mms.mckesson.com/product/1187710/McKesson-Brand-87-320",0.0625,1339,"https://cf1.bettymills.com/store/images/product/500/MON1187707.JPG","https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1187710_ppkgleft.jpg","Yes","McKesson","87-320","",""
"https://www.bettymills.com/mckesson-ecg-snap-electrode-monitoring-non-radiolucent-50-per-pack-87-50sg-mon1187707pk","McKesson ECG Snap Electrode, Monitoring Non-Radiolucent - McKesson 87-50SG PK - Betty Mills","organic","https://www.wholesalepoint.com/product/McKesson-87-50SG-PK.aspx?srsltid=AfmBOooTase3EABmxeMIIFPhLclMbdLlIVowpJ4asQfnpHerwv7TFTIt","N/A",6297,"https://cf1.bettymills.com/store/images/product/500/MON1187707.JPG","https://www.wholesalepoint.com/mm5/","No","","","",""
"https://www.bettymills.com/guardian-helmets-autism-epilepsy-seizure-helmet-gh-4-02-gdhgh-4-02","Guardian Helmets Autism, Epilepsy & Seizure Helmet - Guardian Helmets GH-4-02 EA - Betty Mills","organic","https://archive.org/stream/NEW_1/NEW.txt&ld=20140121&ap=2&app=","N/A",327316,"https://cf1.bettymills.com/store/images/product/500/GDHGH-4-00.JPG","https://athena.archive.org/0.gif?kind=track_js&track_js_case=control&cache_bust=1200345741","No","","","",""
"https://www.bettymills.com/ek-industries-histology-reagent-neutral-phosphate-buffered-formalin-fixative-10-percent-1-gal-4499-gal-mon887505ea","Histology Reagent Neutral Phosphate Buffered Formalin Fixative 10% 1 gal. - EK Industries 4499-GAL EA - Betty Mills","organic","https://www.avantorsciences.com/us/en/category/27703728/formalin",0,1,"https://cf1.bettymills.com/store/images/product/500/MON887505EA.JPG","https://digitalassets.avantorsciences.com/adaptivemedia/rendition?id=aad6bcccd75291201cb98df0ebf19f38d8b6e2d8&vid=c349f7513dd84533adee23ad4c3fb41e2df6ad10&prid=web&clid=SAPDAM","No","","","",""
"https://www.bettymills.com/ek-industries-histology-reagent-neutral-phosphate-buffered-formalin-fixative-10-percent-1-gal-4499-gal-mon887505ea","Histology Reagent Neutral Phosphate Buffered Formalin Fixative 10% 1 gal. - EK Industries 4499-GAL EA - Betty Mills","organic","https://www.weberscientific.com/weber-scientific-formalin-10-neutral-buffered-solution?srsltid=AfmBOophQwg_Co5sEtw3WXIFS4phEHufVopfwSFiBON4NfhGyh1zmx1y",0.25,2383,"https://cf1.bettymills.com/store/images/product/500/MON887505EA.JPG","https://d163axztg8am2h.cloudfront.net/static/img/ca/18/6a60fc70047b8a8c77b25f57ad3a.webp","Yes","","","",""
"https://www.bettymills.com/dickies-mens-industrial-color-block-short-sleeve-shirt-24bker-rg-3xl-vfi24bker-rg-3xl","Dickies Men's Industrial Color Block Short-Sleeve Shirt - Dickies 24BKER-RG-3XL EA - Betty Mills","organic","https://www.shopprudentialuniforms.com/men-39-s-industrial-color-block-short-45-sleeve-shirt/2727938/p","N/A",3868,"https://cf1.bettymills.com/store/images/product/500/VFI24BKER.JPG","https://test10.azureedge.net/images/42826/siteseal_gd_3_h_d_m.gif","No","","","",""
"https://www.bettymills.com/dickies-mens-industrial-color-block-short-sleeve-shirt-24bker-rg-3xl-vfi24bker-rg-3xl","Dickies Men's Industrial Color Block Short-Sleeve Shirt - Dickies 24BKER-RG-3XL EA - Betty Mills","organic","https://www.usaworkuniforms.com/products/dickies-s-s-industrial-color-block-shirt-24?srsltid=AfmBOoqrtbEIakFDdV5xizt51LHZpIXx3wSahpW6PH-yoIId9CUCOO1o",0.671875,11727,"https://cf1.bettymills.com/store/images/product/500/VFI24BKER.JPG","http://www.usaworkuniforms.com/cdn/shop/products/24BKCH_800x.jpg?v=1748853577","No","","","",""
"https://www.bettymills.com/dickies-mens-industrial-color-block-short-sleeve-shirt-24bker-rg-3xl-vfi24bker-rg-3xl","Dickies Men's Industrial Color Block Short-Sleeve Shirt - Dickies 24BKER-RG-3XL EA - Betty Mills","organic","https://www.classiccustomuniforms.com/men-39-s-industrial-color-block-short-45-sleeve-shirt/2727938/p","N/A",2504,"https://cf1.bettymills.com/store/images/product/500/VFI24BKER.JPG","https://verify.authorize.net/anetseal/images/secure90x72.gif","Yes","","","",""
"https://www.bettymills.com/oximax-pulse-oximeter-sensor-oximax-neonatal-adult-maxn-mon447812ea","OxiMax Pulse Oximeter Sensor OxiMax Neonatal / Adult - Cardinal Health MAXN EA - Betty Mills","organic","https://www.rehabmart.com/product/nellcor-oxisensor-ii-oxygen-transducer-29770.html?srsltid=AfmBOoofibmpOvR0395AkVoXdl0aCkiXDQOgmK0GagfpeNDb0OC59gM_","N/A",2277,"https://cf1.bettymills.com/store/images/product/500/MON447812.JPG","https://image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/2017-06-30_13-31-40.jpg&newwidth=740&quality=80","Yes","McKesson","","","40.38"
"https://www.bettymills.com/oximax-pulse-oximeter-sensor-oximax-neonatal-adult-maxn-mon447812ea","OxiMax Pulse Oximeter Sensor OxiMax Neonatal / Adult - Cardinal Health MAXN EA - Betty Mills","organic","https://www.blowoutmedical.com/oximax-max-n-neonatal-adult-oxygen-sensor.html?srsltid=AfmBOorGzl3dfTcH3DKQ8-bc3sgcHxW_yyIQfb_fA7N3iNlZE818SRUD",0,6330,"https://cf1.bettymills.com/store/images/product/500/MON447812.JPG","https://www.blowoutmedical.com/media/catalog/product/cache/4257d56322b92cd1475d45390f3d75e4/n/p/npbmaxn.png","Yes","Mallinckrodt","","",697.71
"https://www.bettymills.com/oximax-pulse-oximeter-sensor-oximax-neonatal-adult-maxn-mon447812ea","OxiMax Pulse Oximeter Sensor OxiMax Neonatal / Adult - Cardinal Health MAXN EA - Betty Mills","organic","https://www.vitalitymedical.com/oximax-neonatal-adult-oxygen-sensor.html?srsltid=AfmBOoo20Y8Alp3BwWPPt2eJdsvbEgwac008ptX8r0LM_RjUXgyWz9rw",0,21101,"https://cf1.bettymills.com/store/images/product/500/MON447812.JPG","https://www.vitalitymedical.com/media/catalog/product/cache/de6c645b4ba0a0945c43c821ae2a0ac4/m/a/max-n.png","Yes","Mallinckrodt","","",22.25
"https://www.bettymills.com/oximax-pulse-oximeter-sensor-oximax-neonatal-adult-maxn-mon447812ea","OxiMax Pulse Oximeter Sensor OxiMax Neonatal / Adult - Cardinal Health MAXN EA - Betty Mills","organic","https://honestmed.com/shop/Medical-Facility/Diagnostic-Instruments-Equipment/Oximeters/M114669?srsltid=AfmBOopnE1GQVbxJiJfPb0fjF95LuUnhOcOyLBM7ptYcvIZdbdDZfXWr",0,4235,"https://cf1.bettymills.com/store/images/product/500/MON447812.JPG","https://d3qbod4c9309eq.cloudfront.net/assets/images/instagram.webp","Yes","","","",""